time,DO.obs,Chl_a,fDOM,temperature,pCO2,sal,tide,Atemp,Rel_Hum,Sol_Rad,bloomstatus
4/12/2019 13:00,5.64,0.292,0.9764,42.41492,367,21.56670211,0.76,35.3,23.5,1112.5556,0
4/12/2019 14:00,7.61,2.0756,9.554,31.8484,523,31.15507673,0.77,34.9,25,1054.9722,0
4/12/2019 15:00,7.69,2.5756,17.6856,25.47068,999,32.69653912,0.8,34.9,24.6,927.4444,0
4/12/2019 16:00,7.67,2.9652,17.7824,25.45116,570,32.79969283,0.82,34.6,18.5,753.9444,0
4/12/2019 17:00,8.18,3.1836,17.8776,25.60272,561,32.63784158,0.84,34.1,21.4,533.5278,0
4/12/2019 18:00,7.84,3.3704,17.9584,25.596,560,32.77635126,0.87,32.1,29.8,298.1667,0
4/12/2019 19:00,7.8,3.6708,18.1312,25.4118,533,32.6758405,0.9,29.8,39.8,78.0556,0
4/12/2019 20:00,7.49,3.894,18.4364,25.3724,575,32.66116192,0.92,27.5,47.5,0.5556,0
4/12/2019 21:00,7.37,3.8848,18.708,25.38368,622,32.61486511,0.94,26.2,51.1,0,0
4/12/2019 22:00,7.31,3.8252,18.74,25.50392,610,32.6257884,0.96,25.6,51.6,0,0
4/12/2019 23:00,7.44,3.8292,18.6832,25.60172,601,32.54517504,0.96,25.4,47.8,0,0
5/12/2019 0:00,7.25,3.646,18.8408,25.54908,619,32.57650254,0.94,25.6,44.7,0,0
5/12/2019 1:00,7.26,3.3548,18.84,25.36168,607,32.6156144,0.93,28,34.4,0,0
5/12/2019 2:00,7.27,3.2736,18.8112,25.17288,576,32.66733434,0.91,26.5,29,0,0
5/12/2019 3:00,7.12,3.4316,18.9908,25.01932,604,32.62605374,0.9,25.9,26.4,0,0
5/12/2019 4:00,6.92,3.356,18.8336,24.88516,616,32.63010369,0.87,23.5,32.6,0,0
5/12/2019 5:00,6.97,3.0504,18.4836,24.78116,596,32.70187155,0.86,22.3,37.4,0.0556,0
5/12/2019 6:00,6.79,2.6364,18.662,24.68656,595,32.68926196,0.83,24.1,31.3,50.0278,0
5/12/2019 7:00,6.39,2.3272,18.9612,24.63084,637,32.71659988,0.8,25.6,29.8,241.6111,0
5/12/2019 8:00,6.77,2.3136,18.8132,24.69632,620,32.69419978,0.78,27.4,29.5,484.0556,0
5/12/2019 9:00,6.92,2.3432,18.6736,24.87104,637,32.67431533,0.75,30.2,26,704.6944,0
5/12/2019 10:00,7.03,2.3808,18.6996,25.0786,606,32.66436927,0.72,33.2,20.7,897.5278,0
5/12/2019 11:00,7.18,2.3912,18.878,25.2632,601,32.62674211,0.72,35.8,16.6,1028.0278,0
5/12/2019 12:00,7.03,2.4412,19.0648,24.81696,598,33.17555619,0.7,37.6,12.8,1081.9722,0
5/12/2019 13:00,7.2,2.6128,18.9924,24.4426,607,34.92862186,0.71,38.9,10.5,1085.9722,0
5/12/2019 14:00,7.43,2.5336,18.4336,25.34204,609,32.71145931,0.74,39.8,9.7,1039.4722,0
5/12/2019 15:00,8.05,2.3976,17.79,25.98096,532,32.73016858,0.75,37.9,20.2,910.6111,0
5/12/2019 16:00,7.85,2.7128,17.4688,25.7322,538,32.87534276,0.78,36.9,21.3,730.2778,0
5/12/2019 17:00,7.76,3.0756,17.4712,25.66476,540,32.9396675,0.82,36.4,23,511.1667,0
5/12/2019 18:00,8.22,3.2292,17.5136,25.0978,486,32.59265738,0.85,35.2,26.3,273.3611,0
5/12/2019 19:00,7.64,3.6,17.8572,25.03352,523,33.65386302,0.89,34.5,26.1,71.3056,0
5/12/2019 20:00,7.39,3.96,18.126,25.55536,561,32.78369991,0.93,33,26.9,0.5833,0
5/12/2019 21:00,7.3,3.7728,18.0524,25.6758,596,32.78827477,0.94,31.2,28.7,0,0
5/12/2019 22:00,7.14,3.578,18.0456,25.80556,603,32.72094655,0.93,29.7,28.9,0,0
5/12/2019 23:00,7.19,3.45,18.2368,25.7238,593,32.74708047,0.93,31.7,18.5,0,0
6/12/2019 0:00,7.19,3.338,18.5256,25.60224,579,32.7612211,0.91,31.7,18.4,0,0
6/12/2019 1:00,7.06,3.4208,18.5868,25.50992,577,32.75016493,0.88,30.4,22.4,0,0
6/12/2019 2:00,7.07,3.3728,18.536,25.40296,590,32.75325224,0.87,29.3,25.8,0,0
6/12/2019 3:00,6.96,3.2404,18.4356,25.3164,605,32.76126258,0.85,28.8,25.8,0,0
6/12/2019 4:00,6.84,2.9856,18.4648,25.23388,635,32.76063983,0.85,28,26.8,0,0
6/12/2019 5:00,6.71,2.7876,18.7272,25.15712,607,32.78463675,0.84,27.3,28.3,0.2778,0
6/12/2019 6:00,6.97,2.726,18.7988,25.0806,604,32.78833186,0.82,27,32.3,59.3056,0
6/12/2019 7:00,6.94,2.626,18.7304,25.00808,590,32.81964864,0.81,27.4,33.8,175.4722,0
6/12/2019 8:00,6.68,2.36,18.7356,24.9756,611,32.83885997,0.8,28.2,33.7,369.5278,0
6/12/2019 9:00,6.86,2.2296,18.6752,25.0558,583,32.82016167,0.8,31,30,510.2778,0
6/12/2019 10:00,7.17,2.4904,18.6192,25.2182,584,32.78092059,0.78,34.4,23.4,743.0556,0
6/12/2019 11:00,7.17,2.5208,18.4888,25.4142,571,32.80660777,0.79,36.5,20,858.25,0
